,file_name,label,label_confidence,n_annotated_objects,n_annotated_frames,mean_group_size,max_group_size
0,7_PENTEKTEST_Sus_scrofa,Meles_meles/lynx/Sus_scrofa,0.22972972972972974,74,74,1.0,1
1,7_PENTEKTEST_Felis_silvestris,mustelid/chamois/Felis_silvestris,0.09090909090909091,11,11,1.0,1
2,7_PENTEKTEST_Meles_meles,squirrel/mustelid/Meles_meles,0.20408163265306123,49,49,1.0,1
3,288_KLESZO_Canis_lupus,bear/Vulpes_vulpes/Canis_lupus,0.3835616438356164,226,73,3.095890410958904,4
4,3673_KLESZO_Vulpes_vulpes,bird/squirrel/Vulpes_vulpes,0.4,136,130,1.0461538461538462,2
5,211_PENTEKTEST_Person,Person,1.0,1,1,1.0,1
6,141_PENTEKTEST_Cervus_elaphus,chamois/Capreolus_capreolus/Cervus_elaphus,0.24489795918367346,60,49,1.2244897959183674,2
7,141_PENTEKTEST_Capreolus_capreolus,squirrel/Cervus_elaphus/Capreolus_capreolus,0.20437956204379562,272,137,1.9854014598540146,2
8,443_KLESZO_Canis_lupus,Dog/Vulpes_vulpes/Canis_lupus,0.3333333333333333,15,15,1.0,1
9,164_PENTEKTEST_Capreolus_capreolus,Cervus_elaphus/Vulpes_vulpes/Capreolus_capreolus,0.3333333333333333,9,9,1.0,1
10,164_PENTEKTEST_Vulpes_vulpes,lagomorph/Cervus_elaphus/Capreolus_capreolus,0.16666666666666666,24,24,1.0,1
11,164_PENTEKTEST_Dog,Person,0.7564102564102564,200,78,2.5641025641025643,3
12,3852_KLESZO_Vulpes_vulpes,mustelid/squirrel/Vulpes_vulpes,0.6470588235294118,17,17,1.0,1
13,231_PENTEKTEST_Meles_meles,squirrel/mustelid/Meles_meles,0.43478260869565216,23,23,1.0,1
14,438_PENTEKTEST_Person,Person,1.0,30,17,1.7647058823529411,2
15,4368_KLESZO_Sus_scrofa,bison/Vulpes_vulpes/Sus_scrofa,0.5,3,2,1.5,2
16,489_KLESZO_Ovis_orientalis,sheep/goat/Ovis_orientalis,0.1728395061728395,93,81,1.1481481481481481,2
17,376_PENTEKTEST_Cervus_elaphus,Capreolus_capreolus/fallow deer/Cervus_elaphus,0.2894736842105263,152,76,2.0,3
18,4906_KLESZO_Vulpes_vulpes,squirrel/mustelid/Vulpes_vulpes,0.41836734693877553,99,98,1.010204081632653,2
19,30_PENTEKTEST_Person,Person,0.7872340425531915,47,47,1.0,1
20,13525_KLESZO_Sus_scrofa,Meles_meles/bear/Sus_scrofa,0.25,6,4,1.5,2
21,3554_KLESZO_Vulpes_vulpes,mustelid/squirrel/Vulpes_vulpes,0.13513513513513514,74,74,1.0,1
22,72_PENTEKTEST_Felis_silvestris,squirrel/mustelid/Felis_silvestris,0.3333333333333333,18,18,1.0,1
23,72_PENTEKTEST_Ovis_orientalis,ibex/goat/Ovis_orientalis,0.26,88,50,1.76,2
24,499_KLESZO_Ovis_orientalis,Cervus_elaphus/fallow deer/Ovis_orientalis,0.2375,80,80,1.0,1
25,13533_KLESZO_Sus_scrofa,lynx/Meles_meles/Sus_scrofa,1.0,11,6,1.8333333333333333,2
26,444_KLESZO_Canis_lupus,Felis_silvestris/Canis_lupus/Vulpes_vulpes,0.24390243902439024,41,41,1.0,1
27,483_KLESZO_Ovis_orientalis,ibex/goat/Ovis_orientalis,0.3246753246753247,224,154,1.4545454545454546,2
28,1789_KLESZO_Vulpes_vulpes,Dog/Canis_lupus/Vulpes_vulpes,0.15053763440860216,93,93,1.0,1
29,144_PENTEKTEST_Cervus_elaphus,Vulpes_vulpes/Capreolus_capreolus/Cervus_elaphus,0.6778523489932886,150,149,1.0067114093959733,2
30,144_PENTEKTEST_Vulpes_vulpes,Felis_silvestris/mustelid/Vulpes_vulpes,1.0,1,1,1.0,1
31,57_PENTEKTEST_Person,bird/bison/cow,0.17647058823529413,68,68,1.0,1
32,57_PENTEKTEST_Dog,Person,0.9873417721518988,276,79,3.4936708860759493,5
33,59_PENTEKTEST_Dog,Person,0.8024691358024691,147,81,1.8148148148148149,2
34,488_KLESZO_Ovis_orientalis,Cervus_elaphus/Capreolus_capreolus/Ovis_orientalis,0.1568627450980392,330,153,2.156862745098039,3
35,182_PENTEKTEST_Canis_lupus,Felis_silvestris/Vulpes_vulpes/Canis_lupus,0.6071428571428571,208,140,1.4857142857142858,3
36,20_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
37,129_PENTEKTEST_Dog,Person,0.9692307692307692,253,65,3.8923076923076922,4
38,3698_KLESZO_Vulpes_vulpes,squirrel/bird/Vulpes_vulpes,0.6164383561643836,146,146,1.0,1
39,703_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
40,18_PENTEKTEST_Ovis_orientalis,bird/chamois/Ovis_orientalis,0.3111111111111111,55,45,1.2222222222222223,2
41,492_KLESZO_Ovis_orientalis,goat/chamois/Ovis_orientalis,0.3333333333333333,153,153,1.0,1
42,492_PENTEKTEST_Person,Person,1.0,126,63,2.0,2
43,495_KLESZO_Ovis_orientalis,goat/chamois/Ovis_orientalis,0.2792207792207792,337,154,2.188311688311688,4
44,78_KLESZO_Felis_silvestris,Vulpes_vulpes/raccoon/Felis_silvestris,0.25,32,32,1.0,1
45,183_PENTEKTEST_Canis_lupus,Felis_silvestris/Vulpes_vulpes/Canis_lupus,0.4444444444444444,10,9,1.1111111111111112,2
46,5394_KLESZO_Vulpes_vulpes,mustelid/squirrel/Vulpes_vulpes,0.8446601941747572,103,103,1.0,1
47,105_PENTEKTEST_Sus_scrofa,cow/chamois/Sus_scrofa,0.4444444444444444,54,54,1.0,1
48,105_PENTEKTEST_Dog,Person,0.9807692307692307,168,52,3.230769230769231,5
49,15_PENTEKTEST_Capreolus_capreolus,Cervus_elaphus/squirrel/Capreolus_capreolus,0.5238095238095238,126,63,2.0,2
50,15_PENTEKTEST_Dog,Person,0.6455696202531646,134,79,1.6962025316455696,2
51,171_PENTEKTEST_Capreolus_capreolus,fallow deer/Cervus_elaphus/Capreolus_capreolus,0.3333333333333333,96,78,1.2307692307692308,2
52,171_PENTEKTEST_Vehicle,Person,0.9047619047619048,21,21,1.0,1
53,504_KLESZO_Ovis_orientalis,goat/chamois/Ovis_orientalis,0.44155844155844154,232,154,1.5064935064935066,2
54,285_PENTEKTEST_Person,Person,0.9705882352941176,34,34,1.0,1
55,5365_KLESZO_Vulpes_vulpes,mustelid/squirrel/Vulpes_vulpes,0.6595744680851063,47,47,1.0,1
56,284_PENTEKTEST_Person,Person,0.7564102564102564,134,78,1.7179487179487178,2
57,284_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
58,12080_KLESZO_Sus_scrofa,Capreolus_capreolus/Cervus_elaphus/Sus_scrofa,0.25,5,4,1.25,2
59,486_KLESZO_Ovis_orientalis,Cervus_elaphus/chamois/Ovis_orientalis,0.17763157894736842,165,152,1.0855263157894737,3
60,106_PENTEKTEST_Capreolus_capreolus,Canis_lupus/chamois/Capreolus_capreolus,0.46296296296296297,58,54,1.0740740740740742,2
61,4910_KLESZO_Vulpes_vulpes,chamois/Sus_scrofa/Vulpes_vulpes,0.08333333333333333,36,36,1.0,1
