,file_name,label,label_confidence,n_annotated_objects,n_annotated_frames,mean_group_size,max_group_size
0,298_PENTEKTEST_Vehicle,Vehicle,1.0,72,72,1.0,1
1,7_PENTEKTEST_Sus_scrofa,Canis_lupus/Cervus_elaphus/Sus_scrofa,0.4594594594594595,76,74,1.027027027027027,2
2,7_PENTEKTEST_Felis_silvestris,Ovis_orientalis/Sus_scrofa/Felis_silvestris,0.6666666666666666,24,24,1.0,1
3,7_PENTEKTEST_Meles_meles,Canis_lupus/Sus_scrofa/Meles_meles,0.49056603773584906,59,53,1.1132075471698113,2
4,288_KLESZO_Canis_lupus,Cervus_elaphus/Sus_scrofa/Canis_lupus,0.9178082191780822,242,73,3.315068493150685,6
5,3673_KLESZO_Vulpes_vulpes,Sus_scrofa/Felis_silvestris/Vulpes_vulpes,0.6307692307692307,131,130,1.0076923076923077,2
6,211_PENTEKTEST_Person,Person,1.0,1,1,1.0,1
7,141_PENTEKTEST_Cervus_elaphus,Sus_scrofa/Vulpes_vulpes/Cervus_elaphus,0.5098039215686274,54,51,1.0588235294117647,2
8,141_PENTEKTEST_Capreolus_capreolus,Sus_scrofa/Cervus_elaphus/Capreolus_capreolus,0.34306569343065696,277,137,2.021897810218978,3
9,313_PENTEKTEST_Vulpes_vulpes,Ovis_orientalis/Sus_scrofa/Vulpes_vulpes,0.2,10,10,1.0,1
10,313_PENTEKTEST_Vehicle,Vehicle,1.0,34,33,1.0303030303030303,2
11,443_KLESZO_Canis_lupus,Canis_lupus/Felis_silvestris/Vulpes_vulpes,0.3333333333333333,15,15,1.0,1
12,164_PENTEKTEST_Capreolus_capreolus,Sus_scrofa/Vulpes_vulpes/Capreolus_capreolus,0.3333333333333333,9,9,1.0,1
13,164_PENTEKTEST_Vulpes_vulpes,Sus_scrofa/Cervus_elaphus/Capreolus_capreolus,0.4166666666666667,24,24,1.0,1
14,164_PENTEKTEST_Dog,Person,0.8333333333333334,211,78,2.7051282051282053,4
