,file_name,label,label_confidence,n_annotated_objects,n_annotated_frames,mean_group_size,max_group_size
0,360_PENTEKTEST_Vehicle,Vehicle,1.0,84,79,1.0632911392405062,2
1,298_PENTEKTEST_Vehicle,Vehicle,1.0,82,78,1.0512820512820513,2
2,7_PENTEKTEST_Sus_scrofa,Animal,1.0,94,74,1.2702702702702702,2
3,7_PENTEKTEST_Felis_silvestris,Animal,1.0,24,22,1.0909090909090908,2
4,7_PENTEKTEST_Meles_meles,Animal,1.0,52,51,1.0196078431372548,2
5,288_KLESZO_Canis_lupus,Animal,0.9857142857142858,211,70,3.0142857142857142,6
6,3673_KLESZO_Vulpes_vulpes,Animal,1.0,130,130,1.0,1
7,211_PENTEKTEST_Person,Person,1.0,1,1,1.0,1
8,141_PENTEKTEST_Cervus_elaphus,Animal,1.0,54,51,1.0588235294117647,2
9,141_PENTEKTEST_Capreolus_capreolus,Animal,1.0,275,137,2.0072992700729926,3
10,313_PENTEKTEST_Vulpes_vulpes,Animal,1.0,17,14,1.2142857142857142,2
11,313_PENTEKTEST_Vehicle,Vehicle,1.0,38,38,1.0,1
12,443_KLESZO_Canis_lupus,Animal,1.0,15,15,1.0,1
13,164_PENTEKTEST_Capreolus_capreolus,Animal,1.0,9,9,1.0,1
14,164_PENTEKTEST_Vulpes_vulpes,Animal,1.0,37,28,1.3214285714285714,2
15,164_PENTEKTEST_Dog,Person,0.9615384615384616,218,78,2.7948717948717947,4
16,3852_KLESZO_Vulpes_vulpes,Animal,1.0,17,17,1.0,1
17,231_PENTEKTEST_Meles_meles,Animal,1.0,30,28,1.0714285714285714,2
18,438_PENTEKTEST_Person,Person,1.0,28,17,1.6470588235294117,2
19,4368_KLESZO_Sus_scrofa,Animal,1.0,3,2,1.5,2
20,489_KLESZO_Ovis_orientalis,Animal,1.0,80,80,1.0,1
21,376_PENTEKTEST_Cervus_elaphus,Animal,1.0,167,76,2.1973684210526314,5
22,4906_KLESZO_Vulpes_vulpes,Animal,1.0,116,97,1.1958762886597938,2
23,30_PENTEKTEST_Person,Person,0.987012987012987,112,77,1.4545454545454546,2
24,13525_KLESZO_Sus_scrofa,Animal,1.0,7,4,1.75,2
25,3554_KLESZO_Vulpes_vulpes,Animal,1.0,77,74,1.0405405405405406,2
26,72_PENTEKTEST_Felis_silvestris,Animal,1.0,20,20,1.0,1
27,72_PENTEKTEST_Ovis_orientalis,Animal,1.0,106,55,1.9272727272727272,3
28,499_KLESZO_Ovis_orientalis,Animal,1.0,83,82,1.0121951219512195,2
29,13533_KLESZO_Sus_scrofa,Animal,1.0,10,6,1.6666666666666667,2
30,444_KLESZO_Canis_lupus,Animal,1.0,41,40,1.025,2
31,483_KLESZO_Ovis_orientalis,Animal,1.0,227,154,1.474025974025974,3
32,126_KLESZO_Canis_lupus,Animal,0.9466666666666667,81,75,1.08,3
33,293_PENTEKTEST_Capreolus_capreolus,Animal,1.0,65,58,1.1206896551724137,2
34,293_PENTEKTEST_Vehicle,Vehicle,1.0,80,79,1.0126582278481013,2
35,1789_KLESZO_Vulpes_vulpes,Animal,1.0,105,93,1.1290322580645162,2
36,144_PENTEKTEST_Cervus_elaphus,Animal,1.0,157,149,1.0536912751677852,2
37,144_PENTEKTEST_Vulpes_vulpes,Animal,1.0,2,2,1.0,1
38,57_PENTEKTEST_Person,Animal,0.8529411764705882,90,68,1.3235294117647058,2
39,57_PENTEKTEST_Dog,Person,0.9746835443037974,307,79,3.8860759493670884,7
40,59_PENTEKTEST_Dog,Person,0.7282608695652174,169,92,1.8369565217391304,3
41,488_KLESZO_Ovis_orientalis,Animal,1.0,328,153,2.1437908496732025,4
42,182_PENTEKTEST_Canis_lupus,Animal,1.0,247,144,1.7152777777777777,3
43,20_PENTEKTEST_Vehicle,Vehicle,1.0,91,79,1.1518987341772151,2
44,129_PENTEKTEST_Dog,Person,1.0,266,65,4.092307692307692,5
45,156_PENTEKTEST_Cervus_elaphus,Animal,1.0,1,1,1.0,1
46,156_PENTEKTEST_Capreolus_capreolus,Animal,1.0,136,77,1.7662337662337662,2
47,3698_KLESZO_Vulpes_vulpes,Animal,1.0,149,147,1.0136054421768708,2
48,703_PENTEKTEST_Vehicle,Vehicle,1.0,80,79,1.0126582278481013,2
49,18_PENTEKTEST_Ovis_orientalis,Animal,1.0,59,45,1.3111111111111111,3
50,492_KLESZO_Ovis_orientalis,Animal,1.0,156,153,1.0196078431372548,2
51,492_PENTEKTEST_Person,Person,1.0,128,63,2.0317460317460316,4
52,495_KLESZO_Ovis_orientalis,Animal,1.0,350,154,2.272727272727273,6
53,78_KLESZO_Felis_silvestris,Animal,1.0,33,32,1.03125,2
54,183_PENTEKTEST_Canis_lupus,Animal,1.0,9,9,1.0,1
55,296_PENTEKTEST_Vehicle,Vehicle,1.0,75,71,1.056338028169014,2
56,1_PENTEKTEST_Capreolus_capreolus,Animal,1.0,31,30,1.0333333333333334,2
57,1_PENTEKTEST_Sus_scrofa,Animal,1.0,15,15,1.0,1
58,1_PENTEKTEST_Ovis_orientalis,Animal,1.0,2,2,1.0,1
59,105_PENTEKTEST_Sus_scrofa,Animal,1.0,54,54,1.0,1
60,105_PENTEKTEST_Dog,Person,0.9811320754716981,177,53,3.339622641509434,7
61,15_PENTEKTEST_Capreolus_capreolus,Animal,1.0,126,63,2.0,2
62,15_PENTEKTEST_Dog,Person,0.9493670886075949,142,79,1.7974683544303798,3
63,171_PENTEKTEST_Capreolus_capreolus,Animal,1.0,109,78,1.3974358974358974,3
64,171_PENTEKTEST_Vehicle,Person,0.9583333333333334,24,24,1.0,1
65,504_KLESZO_Ovis_orientalis,Animal,1.0,233,154,1.5129870129870129,3
66,285_PENTEKTEST_Person,Person,1.0,34,34,1.0,1
67,80_PENTEKTEST_Canis_lupus,Animal,1.0,25,23,1.0869565217391304,2
68,80_PENTEKTEST_Felis_silvestris,Animal,1.0,56,54,1.037037037037037,2
69,284_PENTEKTEST_Person,Person,0.9873417721518988,161,79,2.037974683544304,5
70,284_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
71,12080_KLESZO_Sus_scrofa,Animal,1.0,6,4,1.5,3
72,486_KLESZO_Ovis_orientalis,Animal,1.0,204,152,1.3421052631578947,3
73,106_PENTEKTEST_Capreolus_capreolus,Animal,1.0,63,54,1.1666666666666667,2
74,4910_KLESZO_Vulpes_vulpes,Animal,1.0,36,36,1.0,1
75,542_PENTEKTEST_Person,Person,0.991304347826087,129,115,1.1217391304347826,3
76,244_KLESZO_Ovis_orientalis,Animal,1.0,117,106,1.1037735849056605,2
77,471_KLESZO_Ovis_orientalis,Animal,1.0,155,151,1.0264900662251655,2
78,12261_KLESZO_Sus_scrofa,Animal,1.0,33,14,2.357142857142857,4
79,127_PENTEKTEST_Capreolus_capreolus,Animal,1.0,79,75,1.0533333333333332,2
80,191_PENTEKTEST_Canis_lupus,Animal,1.0,87,74,1.1756756756756757,2
81,191_PENTEKTEST_Capreolus_capreolus,Animal,1.0,54,53,1.0188679245283019,2
82,6001_KLESZO_Vehicle,Vehicle,1.0,102,102,1.0,1
83,120_PENTEKTEST_Dog,Person,1.0,179,86,2.0813953488372094,4
84,13528_KLESZO_Sus_scrofa,Animal,1.0,11,11,1.0,1
85,475_KLESZO_Ovis_orientalis,Animal,1.0,324,153,2.1176470588235294,4
86,340_PENTEKTEST_Vulpes_vulpes,Animal,1.0,59,57,1.0350877192982457,2
87,12124_KLESZO_Sus_scrofa,Animal,1.0,61,8,7.625,9
88,8_PENTEKTEST_Dog,Animal,0.5797101449275363,122,69,1.7681159420289856,3
89,326_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
90,51_PENTEKTEST_Capreolus_capreolus,Animal,1.0,3,3,1.0,1
91,51_PENTEKTEST_Dog,Person,0.828125,187,64,2.921875,5
92,86_PENTEKTEST_Meles_meles,Animal,1.0,30,29,1.0344827586206897,2
93,19_PENTEKTEST_Dog,Animal,1.0,131,73,1.7945205479452055,4
94,1_KLESZO_Sus_scrofa,Animal,1.0,1,1,1.0,1
95,1_KLESZO_Felis_silvestris,Animal,1.0,103,102,1.0098039215686274,2
96,1_KLESZO_Dog,Animal,1.0,1,1,1.0,1
97,189_PENTEKTEST_Canis_lupus,Animal,1.0,208,127,1.6377952755905512,3
98,519_PENTEKTEST_Vehicle,Vehicle,0.9361702127659575,55,47,1.1702127659574468,2
99,569_PENTEKTEST_Vehicle,Vehicle,0.9473684210526315,21,19,1.105263157894737,2
100,330_PENTEKTEST_Vehicle,Vehicle,1.0,83,78,1.064102564102564,3
101,484_KLESZO_Ovis_orientalis,Animal,1.0,476,128,3.71875,5
102,275_PENTEKTEST_Meles_meles,Animal,1.0,26,26,1.0,1
103,12244_KLESZO_Sus_scrofa,Animal,1.0,22,6,3.6666666666666665,5
104,276_PENTEKTEST_Capreolus_capreolus,Animal,1.0,63,63,1.0,1
105,491_KLESZO_Ovis_orientalis,Animal,1.0,1534,132,11.621212121212121,16
106,2_KLESZO_Sus_scrofa,Animal,1.0,5,5,1.0,1
107,2_KLESZO_Felis_silvestris,Animal,1.0,42,38,1.105263157894737,2
108,2_KLESZO_Dog,Animal,1.0,31,31,1.0,1
109,458_PENTEKTEST_Cervus_elaphus,Animal,1.0,86,78,1.1025641025641026,2
110,12148_KLESZO_Sus_scrofa,Animal,1.0,32,7,4.571428571428571,7
111,479_KLESZO_Ovis_orientalis,Animal,1.0,68,64,1.0625,2
112,42_PENTEKTEST_Vulpes_vulpes,Animal,1.0,34,34,1.0,1
113,42_PENTEKTEST_Felis_silvestris,Animal,1.0,48,46,1.0434782608695652,2
114,42_PENTEKTEST_Dog,Person,0.9491525423728814,114,59,1.9322033898305084,3
115,477_KLESZO_Ovis_orientalis,Animal,1.0,157,154,1.0194805194805194,2
116,136_PENTEKTEST_Vehicle,Vehicle,1.0,34,33,1.0303030303030303,2
117,1914_KLESZO_Vulpes_vulpes,Animal,1.0,29,25,1.16,2
118,35_PENTEKTEST_Vehicle,Vehicle,1.0,71,71,1.0,1
119,1202_PENTEKTEST_Vulpes_vulpes,Animal,1.0,32,28,1.1428571428571428,2
120,178_PENTEKTEST_Canis_lupus,Animal,1.0,30,30,1.0,1
121,178_PENTEKTEST_Cervus_elaphus,Animal,1.0,41,21,1.9523809523809523,3
122,16332_KLESZO_Sus_scrofa,Animal,1.0,4,4,1.0,1
123,379_PENTEKTEST_Vehicle,Vehicle,1.0,44,44,1.0,1
124,53_PENTEKTEST_Canis_lupus,Animal,1.0,26,25,1.04,2
125,53_PENTEKTEST_Sus_scrofa,Animal,1.0,49,25,1.96,4
126,498_KLESZO_Ovis_orientalis,Animal,0.9914529914529915,120,117,1.0256410256410255,2
127,391_PENTEKTEST_Cervus_elaphus,Animal,1.0,79,78,1.0128205128205128,2
128,33_PENTEKTEST_Dog,Person,1.0,50,47,1.0638297872340425,2
129,10_PENTEKTEST_Capreolus_capreolus,Animal,1.0,88,86,1.0232558139534884,2
130,30037_KLESZO_Sus_scrofa,Animal,1.0,2,2,1.0,1
131,473_KLESZO_Ovis_orientalis,Animal,1.0,1152,117,9.846153846153847,14
132,469_PENTEKTEST_Vehicle,Vehicle,1.0,72,67,1.0746268656716418,2
133,507_KLESZO_Ovis_orientalis,Animal,1.0,154,154,1.0,1
134,412_PENTEKTEST_Person,Person,1.0,67,52,1.2884615384615385,3
135,494_KLESZO_Ovis_orientalis,Animal,1.0,284,66,4.303030303030303,7
136,359_PENTEKTEST_Person,Person,1.0,61,58,1.0517241379310345,2
137,39_PENTEKTEST_Capreolus_capreolus,Animal,1.0,143,72,1.9861111111111112,3
138,452_PENTEKTEST_Person,Person,1.0,19,19,1.0,1
139,581_PENTEKTEST_Cervus_elaphus,Animal,1.0,98,96,1.0208333333333333,2
