,file_name,label,label_confidence,n_annotated_objects,n_annotated_frames,mean_group_size,max_group_size
0,360_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
1,298_PENTEKTEST_Vehicle,Vehicle,1.0,79,78,1.0128205128205128,2
2,7_PENTEKTEST_Sus_scrofa,Sus_scrofa,1.0,94,74,1.2702702702702702,2
3,7_PENTEKTEST_Felis_silvestris,Felis_silvestris,1.0,24,24,1.0,1
4,7_PENTEKTEST_Meles_meles,Meles_meles,1.0,53,53,1.0,1
5,288_KLESZO_Canis_lupus,Canis_lupus,1.0,227,73,3.1095890410958904,5
6,3673_KLESZO_Vulpes_vulpes,Vulpes_vulpes,1.0,130,130,1.0,1
7,211_PENTEKTEST_Person,Person,1.0,1,1,1.0,1
8,141_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,1.0,51,51,1.0,1
9,141_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,1.0,273,137,1.9927007299270072,2
10,313_PENTEKTEST_Vulpes_vulpes,Vulpes_vulpes,1.0,16,16,1.0,1
11,313_PENTEKTEST_Vehicle,Vehicle,1.0,39,39,1.0,1
12,443_KLESZO_Canis_lupus,Canis_lupus,1.0,15,15,1.0,1
13,164_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,1.0,9,9,1.0,1
14,164_PENTEKTEST_Vulpes_vulpes,Capreolus_capreolus,0.7857142857142857,37,28,1.3214285714285714,2
15,164_PENTEKTEST_Dog,Person,1.0,223,78,2.858974358974359,3
16,3852_KLESZO_Vulpes_vulpes,Vulpes_vulpes,1.0,18,18,1.0,1
17,231_PENTEKTEST_Meles_meles,Meles_meles,1.0,30,30,1.0,1
18,438_PENTEKTEST_Person,Person,1.0,30,17,1.7647058823529411,2
19,4368_KLESZO_Sus_scrofa,Sus_scrofa,1.0,3,2,1.5,2
20,489_KLESZO_Ovis_orientalis,Ovis_orientalis,1.0,81,81,1.0,1
21,376_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,1.0,167,76,2.1973684210526314,3
22,4906_KLESZO_Vulpes_vulpes,Vulpes_vulpes,1.0,98,98,1.0,1
23,30_PENTEKTEST_Person,Person,1.0,77,77,1.0,1
