,file_name,label,label_confidence,n_annotated_objects,n_annotated_frames,mean_group_size,max_group_size
0,298_PENTEKTEST_Vehicle,Vehicle,1.0,71,70,1.0142857142857142,2
1,7_PENTEKTEST_Sus_scrofa,Sus_scrofa,0.9459459459459459,85,74,1.1486486486486487,2
2,7_PENTEKTEST_Felis_silvestris,Felis_silvestris,1.0,24,22,1.0909090909090908,2
3,7_PENTEKTEST_Meles_meles,Meles_meles,0.9807692307692307,56,52,1.0769230769230769,2
4,288_KLESZO_Canis_lupus,Canis_lupus,1.0,218,73,2.9863013698630136,4
5,3673_KLESZO_Vulpes_vulpes,Vulpes_vulpes,0.9769230769230769,131,130,1.0076923076923077,2
6,211_PENTEKTEST_Person,Person,1.0,1,1,1.0,1
7,141_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,1.0,54,51,1.0588235294117647,2
8,141_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,1.0,274,137,2.0,3
9,313_PENTEKTEST_Vulpes_vulpes,Vulpes_vulpes,0.9230769230769231,15,13,1.1538461538461537,2
10,313_PENTEKTEST_Vehicle,Vehicle,1.0,15,15,1.0,1
11,443_KLESZO_Canis_lupus,Vulpes_vulpes,0.9333333333333333,18,15,1.2,2
12,164_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,0.8888888888888888,10,9,1.1111111111111112,2
13,164_PENTEKTEST_Vulpes_vulpes,Capreolus_capreolus,0.9047619047619048,21,21,1.0,1
14,164_PENTEKTEST_Dog,Person,0.8461538461538461,210,78,2.6923076923076925,4
15,231_PENTEKTEST_Meles_meles,Meles_meles,1.0,26,26,1.0,1
16,438_PENTEKTEST_Person,Person,1.0,30,17,1.7647058823529411,2
17,4368_KLESZO_Sus_scrofa,Sus_scrofa,0.5,3,2,1.5,2
18,489_KLESZO_Ovis_orientalis,Capreolus_capreolus,0.5925925925925926,108,81,1.3333333333333333,2
19,376_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,0.9605263157894737,156,76,2.0526315789473686,3
20,4906_KLESZO_Vulpes_vulpes,Ovis_orientalis,1.0,101,98,1.030612244897959,2
21,30_PENTEKTEST_Person,Person,1.0,82,68,1.2058823529411764,2
22,13525_KLESZO_Sus_scrofa,Sus_scrofa,1.0,8,4,2.0,3
23,3554_KLESZO_Vulpes_vulpes,Vulpes_vulpes,0.4520547945205479,91,73,1.2465753424657535,3
24,72_PENTEKTEST_Felis_silvestris,Felis_silvestris,0.95,22,20,1.1,2
25,72_PENTEKTEST_Ovis_orientalis,Dog,0.9090909090909091,115,55,2.090909090909091,4
26,499_KLESZO_Ovis_orientalis,Cervus_elaphus,0.46835443037974683,91,79,1.1518987341772151,2
27,13533_KLESZO_Sus_scrofa,Sus_scrofa,1.0,11,6,1.8333333333333333,2
28,444_KLESZO_Canis_lupus,Felis_silvestris,0.8780487804878049,41,41,1.0,1
29,483_KLESZO_Ovis_orientalis,Ovis_orientalis,0.39072847682119205,250,151,1.6556291390728477,4
30,293_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,0.9827586206896551,64,58,1.103448275862069,2
31,293_PENTEKTEST_Vehicle,Vehicle,1.0,79,78,1.0128205128205128,2
32,1789_KLESZO_Vulpes_vulpes,Vulpes_vulpes,0.5666666666666667,104,90,1.1555555555555554,2
33,144_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,1.0,152,149,1.0201342281879195,2
34,144_PENTEKTEST_Vulpes_vulpes,Vulpes_vulpes,1.0,3,2,1.5,2
35,57_PENTEKTEST_Person,Person,1.0,72,67,1.0746268656716418,2
36,57_PENTEKTEST_Dog,Person,0.9746835443037974,300,79,3.7974683544303796,6
37,59_PENTEKTEST_Dog,Person,0.813953488372093,157,86,1.8255813953488371,3
38,488_KLESZO_Ovis_orientalis,Ovis_orientalis,0.9281045751633987,347,153,2.2679738562091503,4
39,182_PENTEKTEST_Canis_lupus,Canis_lupus,0.9929577464788732,250,142,1.7605633802816902,3
40,20_PENTEKTEST_Vehicle,Vehicle,1.0,80,79,1.0126582278481013,2
41,129_PENTEKTEST_Dog,Person,1.0,265,65,4.076923076923077,5
42,156_PENTEKTEST_Cervus_elaphus,Cervus_elaphus,1.0,1,1,1.0,1
43,156_PENTEKTEST_Capreolus_capreolus,Capreolus_capreolus,0.8356164383561644,122,73,1.6712328767123288,3
44,3698_KLESZO_Vulpes_vulpes,Vulpes_vulpes,0.8707482993197279,158,147,1.0748299319727892,2
45,703_PENTEKTEST_Vehicle,Vehicle,1.0,79,79,1.0,1
46,18_PENTEKTEST_Ovis_orientalis,Dog,0.6136363636363636,57,44,1.2954545454545454,2
